EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
8 647 129 1 1
5 640 125 0 1
6 626 126 1 1
6 861 127 1 2
5 643 143 1 1
6 860 130 1 1
5 848 128 1 2
8 841 129 1 1
5 855 129 1 1
5 868 127 1 1
5 916 131 1 1
6 844 127 1 2
5 839 131 1 1
6 840 128 1 1
5 836 128 1 2
5 641 127 1 1
6 866 132 1 2
5 838 129 1 1
6 832 127 1 1
7 831 130 1 2
5 676 127 1 1
6 874 128 1 2
6 847 129 1 2
6 1293 131 2 4
6 859 126 1 2
6 838 128 1 2
5 643 128 1 1
5 871 128 1 2
6 876 135 1 2
6 908 154 1 2
6 909 144 1 2
11 983 151 1 2
6 1128 170 1 4
6 1145 222 2 4
13 1186 159 1 4
6 886 128 1 1
5 908 131 1 2
5 893 132 1 2
5 865 125 1 2
6 860 130 1 1
5 879 131 1 2
5 851 127 1 5
5 874 130 1 2
6 843 125 1 7
5 869 130 1 2
6 844 127 1 2
8 662 127 1 1
6 921 128 1 2
5 984 133 1 2
6 665 126 1 1
6 877 128 1 2
6 852 127 1 2
